,matfile,x,y,w,h,z
1,AAAA,98,376,482,168,1
2,AAAB,100,370,472,170,1
3,AABA,98,396,410,154,1
4,AABB,96,378,470,154,1
5,AABC,148,386,404,134,1
6,AACA,108,216,462,132,1
7,AAGB,104,146,482,165,1
8,AAFA ,321,250,206,105,1
9,AAFA ,91,169,438,163,5
10,AAFA ,86,169,435,154,6
11,AAFA ,93,165,424,145,7
12,AAFA ,94,166,400,182,8
13,AAFA ,87,174,511,189,9
14,AAFA ,74,169,533,199,10
15,AAFA ,74,169,533,199,11
16,AAFA ,120,189,487,180,12
17,AAFA ,136,169,471,199,13
18,AAFA ,136,169,471,215,14
19,AAFA ,308,169,299,215,15
20,AAFA ,308,169,299,215,16
21,AAFA ,308,218,299,166,17
22,AAFA ,308,218,299,166,18
23,AAFA ,308,218,236,166,19
24,AAFA ,308,218,236,166,20
